"code","iso","country","CXN.1995","CXN.1996","CXN.1997","CXN.1998","CXN.1999","CXN.2000","CXN.2001","CXN.2002","CXN.2003","CXN.2004","CXN.2005","CXN.2006","CXN.2007","CXN.2008","CXN.2009","CXN.2010","CXN.2011","CXN.2012","CXN.2013","CXN.2014"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,-9999,-9999,8
8,"ALB","Albania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77,-9999,-9999,77
12,"DZA","Algeria",55.7,-9999,-9999,66.3,-9999,83,83,83,83,83,85,85,85,86,86,86,95,-9999,-9999,85.25
16,"ASM","American Samoa",30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.1,-9999,-9999,-9999,41.1
20,"AND","Andorra",-9999,-9999,-9999,-9999,100,100,100,100,100,100,100,100,100,-9999,-9999,-9999,-9999,-9999,-9999,100
24,"AGO","Angola",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14,-9999,-9999,14,-9999,-9999,14
660,"AIA","Anguilla",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,"ATG","Antigua and Barbuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,"ARG","Argentina",-9999,-9999,-9999,-9999,-9999,-9999,42.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,47,-9999,-9999,44.75
51,"ARM","Armenia",64.1,-9999,-9999,-9999,-9999,63.3,62.8,58.8,60.2,61.6,65.1,66.1,67,66.8,67,-9999,92,-9999,-9999,66.4272727272727
533,"ABW","Aruba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,"AUS","Australia",-9999,-9999,-9999,-9999,-9999,-9999,90,-9999,-9999,87,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,92.3333333333333
40,"AUT","Austria",76,-9999,-9999,82,-9999,85,86,86,89,89,-9999,92,-9999,93,-9999,-9999,94,-9999,-9999,89.25
31,"AZE","Azerbaijan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,30,30,50,50,31.2,31.4,-9999,92,-9999,-9999,43.075
44,"BHS","Bahamas",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
48,"BHR","Bahrain",64,65,66,69,71,74,75,77,79,83,86,87,88,-9999,-9999,-9999,64,-9999,-9999,79.2222222222222
50,"BGD","Bangladesh",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,-9999,-9999,9
52,"BRB","Barbados",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112,"BLR","Belarus",-9999,94.1,90.2,91,92.9,90.1,90.1,94,92.8,90.8,98.3,96.1,94.9,-9999,-9999,-9999,86,-9999,-9999,92.5666666666667
56,"BEL","Belgium",81,81,81,81,81,81,81,81,83,85,86,87,89,-9999,-9999,-9999,71,-9999,-9999,82.6666666666667
84,"BLZ","Belize",-9999,-9999,-9999,-9999,-9999,15.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.1
204,"BEN","Benin",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,4.2,-9999,2.1
60,"BMU","Bermuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,5,5,5,5,-9999,-9999,-9999,-9999,5
64,"BTN","Bhutan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,10
68,"BOL","Bolivia",-9999,25.3,28.6,34.5,32.5,34.6,31.1,30.9,31.4,-9999,36.4,31.9,37.7,43.9,-9999,-9999,61,-9999,-9999,37.6555555555556
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77,-9999,-9999,77
72,"BWA","Botswana",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19,-9999,-9999,19
76,"BRA","Brazil",37.1,38.1,38.6,40.2,41.3,-9999,43.2,44,45.5,45.4,45.5,45.9,48.6,50.2,-9999,-9999,57,-9999,-9999,47.2555555555556
92,"VGB","British Virgin Islands",-9999,-9999,-9999,-9999,-9999,-9999,24.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5
96,"BRN","Brunei Darussalam",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,-9999,-9999,-9999,44
100,"BGR","Bulgaria",67,67,67,67,67,67,68,68,69,69,69,69,70,70,70,-9999,91,-9999,-9999,70.9090909090909
854,"BFA","Burkina Faso",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1
108,"BDI","Burundi",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,12,-9999,-9999,6
116,"KHM","Cambodia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,46,-9999,-9999,24.25
120,"CMR","Cameroon",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,2
124,"CAN","Canada",-9999,-9999,-9999,-9999,74.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,84.31,-9999,88,-9999,-9999,86.155
132,"CPV","Cape Verde",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.4,-9999,-9999,-9999,19.4
136,"CYM","Cayman Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
140,"CAF","Central African Republic",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1,-9999,-9999,1
148,"TCD","Chad",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,-9999,3
152,"CHL","Chile",89.4,-9999,-9999,-9999,92.1,78,93.6,94.1,94.4,94.8,94.9,95.2,95.2,95.3,95.6,-9999,92,-9999,-9999,93.0090909090909
156,"CHN","China",19.7,-9999,-9999,-9999,31.9,34.3,36.4,40,42.4,45.7,-9999,-9999,-9999,-9999,-9999,73,56,-9999,-9999,46.8285714285714
170,"COL","Colombia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,92,-9999,-9999,92
174,"COM","Comoros",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
178,"COG","Congo",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,-9999,-9999,9
184,"COK","Cook Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
188,"CRI","Costa Rica",-9999,-9999,-9999,-9999,-9999,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27,-9999,-9999,24
384,"CIV","Cote d'Ivoire",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12,12,-9999,12
191,"HRV","Croatia",38,-9999,-9999,-9999,-9999,40.1,-9999,-9999,42,42.7,42.7,43.1,43.3,44.2,-9999,-9999,79,-9999,-9999,47.1375
192,"CUB","Cuba",34.2,34.2,36,38.2,38.1,38,39,38.4,38.4,38.8,38.8,36.8,37.1,35.9,35.9,-9999,53,-9999,-9999,39.1
196,"CYP","Cyprus",8,11,12,13,13,14,16,18,23,28,30,-9999,-9999,-9999,-9999,-9999,73,-9999,-9999,28.8571428571429
203,"CZE","Czech Republic",73,73,74,74,75,75,75,77,78,78,79,80,81,81,-9999,-9999,97,-9999,-9999,80.1
180,"COD","Dem. Rep. Congo",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,4
208,"DNK","Denmark",87,87,88,89,-9999,-9999,-9999,87.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99,-9999,-9999,93.45
262,"DJI","Djibouti",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7,-9999,-9999,7
212,"DMA","Dominica",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23
214,"DOM","Dominican Republic",-9999,-9999,-9999,-9999,-9999,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,-9999,-9999,22
218,"ECU","Ecuador",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64,-9999,-9999,64
818,"EGY","Egypt",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86,-9999,74,-9999,-9999,80
222,"SLV","El Salvador",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62,-9999,-9999,62
226,"GNQ","Equatorial Guinea",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25,-9999,-9999,25
232,"ERI","Eritrea",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,-9999,-9999,23
233,"EST","Estonia",77,77,77,70,70,70,70,72,72,73,74,74,74,81,81,-9999,90,-9999,-9999,75.5454545454545
231,"ETH","Ethiopia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1
234,"FRO","Faeroe Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
238,"FLK","Falkland Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
242,"FJI","Fiji",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39,-9999,-9999,39
246,"FIN","Finland",78,78,78,79,80,80,81,81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95,-9999,-9999,84.25
250,"FRA","France",81,-9999,-9999,79,79,-9999,82,-9999,-9999,82,-9999,-9999,-9999,-9999,-9999,-9999,93,-9999,-9999,85.6666666666667
254,"GUF","French Guiana",-9999,-9999,-9999,12.1,-9999,-9999,49.2,-9999,-9999,46.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,48.05
258,"PYF","French Polynesia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
266,"GAB","Gabon",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,6
270,"GMB","Gambia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,-9999,-9999,8
268,"GEO","Georgia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,80,-9999,-9999,80
276,"DEU","Germany",92,-9999,-9999,93,-9999,-9999,94,-9999,-9999,95,97,-9999,96,-9999,-9999,-9999,100,-9999,-9999,96.4
288,"GHA","Ghana",-9999,-9999,-9999,-9999,-9999,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4,-9999,7,27
292,"GIB","Gibraltar",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
300,"GRC","Greece",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,85,-9999,87,-9999,90,-9999,-9999,87.3333333333333
304,"GRL","Greenland",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
308,"GRD","Grenada",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312,"GLP","Guadeloupe",-9999,-9999,-9999,-9999,-9999,-9999,40.5,-9999,-9999,39.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.9
316,"GUM","Guam",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
320,"GTM","Guatemala",29.5,-9999,-9999,-9999,-9999,-9999,-9999,41.9,-9999,-9999,-9999,65.2,-9999,-9999,-9999,-9999,72,-9999,-9999,59.7
324,"GIN","Guinea",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,10,10,11,11,-9999,0,-9999,-9999,8.66666666666667
624,"GNB","Guinea-Bissau",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13,-9999,-9999,13
328,"GUY","Guyana",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.2,-9999,13,-9999,-9999,10.1
332,"HTI","Haiti",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,0,1.5
336,"VAT","Holy See",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
340,"HND","Honduras",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.5,63,-9999,-9999,59.75
344,"HKG","Hong Kong",-9999,-9999,-9999,-9999,91.3,92.7,94.8,94.2,94.6,92.3,92.9,93.2,93.2,93.3,93.2,-9999,100,-9999,93,93.95
348,"HUN","Hungary",44,45,46,48,49,51,54,62,-9999,-9999,62,65,-9999,-9999,-9999,-9999,70,-9999,-9999,60.6666666666667
352,"ISL","Iceland",90,90,90,90,90,90,90,90,90,90,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90
356,"IND","India",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33,-9999,-9999,33
360,"IDN","Indonesia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,1,-9999,-9999,1.75
364,"IRN","Iran",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,-9999,-9999,30
368,"IRQ","Iraq",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.7,-9999,-9999,26,-9999,29,37,-9999,-9999,29.425
372,"IRL","Ireland",100,-9999,100,-9999,93,100,93,-9999,-9999,-9999,95,-9999,-9999,-9999,-9999,-9999,97,-9999,-9999,96.25
833,"IMN","Isle of Man",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
376,"ISR","Israel",-9999,-9999,-9999,-9999,-9999,89.6,-9999,-9999,-9999,-9999,92.2,92.8,93.8,-9999,-9999,-9999,94,-9999,-9999,92.48
380,"ITA","Italy",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94,-9999,-9999,-9999,-9999,-9999,90,-9999,-9999,92
388,"JAM","Jamaica",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20,30,-9999,-9999,25
392,"JPN","Japan",-9999,-9999,-9999,-9999,-9999,-9999,64,-9999,67,-9999,-9999,-9999,-9999,-9999,-9999,77,72,76.3,-9999,71.26
400,"JOR","Jordan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,97.7,97.7,-9999,61,-9999,-9999,-9999,-9999,67,-9999,-9999,80.85
398,"KAZ","Kazakhstan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61,-9999,-9999,61
404,"KEN","Kenya",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,-9999,-9999,-9999,34,-9999,-9999,8.13333333333333
296,"KIR","Kiribati",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
414,"KWT","Kuwait",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,100
417,"KGZ","Kyrgyzstan",-9999,-9999,-9999,-9999,23.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42,-9999,-9999,42
418,"LAO","Laos",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7,0,-9999,3.5
428,"LVA","Latvia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71,71,-9999,-9999,-9999,83,-9999,-9999,75
422,"LBN","Lebanon",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,67.4,-9999,-9999,-9999,-9999,-9999,-9999,47,-9999,-9999,57.2
426,"LSO","Lesotho",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,6,-9999,-9999,6
430,"LBR","Liberia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.1,8,-9999,-9999,14.05
434,"LBY","Libya",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54,97,-9999,75.5
438,"LIE","Liechtenstein",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
440,"LTU","Lithuania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,71,73,-9999,70,62,62,62,62,-9999,91,-9999,-9999,69.125
